region,category,parameter,mode,powertrain,year,unit,value,percentage
EU27,Historical,EV stock,Cars,PHEV,2010,Vehicles,40,"4000,00%"
EU27,Historical,EV sales,Trucks,BEV,2010,Vehicles,26,"2600,00%"
EU27,Historical,EV stock,Trucks,BEV,2010,Vehicles,97,"9700,00%"
Europe,Historical,EV sales,Buses,BEV,2010,Vehicles,130,"13000,00%"
Europe,Historical,EV stock,Buses,BEV,2010,Vehicles,6300,"630000,00%"
Europe,Historical,EV stock,Buses,FCEV,2010,Vehicles,6,"600,00%"
Europe,Historical,EV sales,Vans,BEV,2010,Vehicles,1500,"150000,00%"
Europe,Historical,EV stock,Vans,BEV,2010,Vehicles,6700,"670000,00%"
Europe,Historical,EV sales,Vans,FCEV,2010,Vehicles,2,"200,00%"
Europe,Historical,EV stock,Vans,FCEV,2010,Vehicles,6,"600,00%"
Europe,Historical,EV stock,Vans,PHEV,2010,Vehicles,210,"21000,00%"
Europe,Historical,EV sales,Cars,BEV,2010,Vehicles,1700,"170000,00%"
Europe,Historical,EV stock,Cars,BEV,2010,Vehicles,9800,"980000,00%"
Europe,Historical,EV sales,Cars,FCEV,2010,Vehicles,27,"2700,00%"
Europe,Historical,EV stock,Cars,FCEV,2010,Vehicles,40,"4000,00%"
Europe,Historical,EV sales,Cars,PHEV,2010,Vehicles,110,"11000,00%"
Europe,Historical,EV stock,Cars,PHEV,2010,Vehicles,63,"6300,00%"
Europe,Historical,EV sales,Trucks,BEV,2010,Vehicles,36,"3600,00%"
Europe,Historical,EV stock,Trucks,BEV,2010,Vehicles,1000,"100000,00%"
Europe,Historical,EV sales share,Vans,EV,2010,percent,8.500.000.089.407,"850000008940700,00%"
Europe,Historical,EV stock share,Vans,EV,2010,percent,23.000.000.044.704,"2300000004470400,00%"
Europe,Historical,EV stock share,Buses,EV,2010,percent,439.999.997.615.814,"43999999761581400,00%"
Europe,Historical,EV sales share,Buses,EV,2010,percent,189.999.997.615.814,"18999999761581400,00%"
Europe,Historical,EV sales share,Cars,EV,2010,percent,12.000.000.104.308,"1200000010430800,00%"
Europe,Historical,EV stock share,Cars,EV,2010,percent,3.899.999.894.202,"389999989420200,00%"
Europe,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3200,"320000,00%"
Europe,Historical,EV stock share,Trucks,EV,2010,percent,16.000.000.759.959,"1600000075995900,00%"
Europe,Historical,EV sales share,Trucks,EV,2010,percent,8.600.000.292.063,"860000029206300,00%"
Europe,Historical,Electricity demand,Buses,EV,2010,GWh,240,"24000,00%"
Europe,Historical,Electricity demand,Trucks,EV,2010,GWh,910.000.038.146.973,"91000003814697300,00%"
Europe,Historical,Electricity demand,Vans,EV,2010,GWh,81,"8100,00%"
Europe,Historical,Electricity demand,Cars,EV,2010,GWh,300,"30000,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,"1,00E+10","999999974737,88%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2010,Milion barrels per day,"1,80E+09","180000006366,75%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,159.999.995.958,"15999999595800,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,"1,00E+10","999999974737,88%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",590.000.009.536.743,"59000000953674300,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2010,"Oil displacement, million lge",1,"100,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2010,"Oil displacement, million lge",939.999.961.853.027,"93999996185302700,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",590.000.009.536.743,"59000000953674300,00%"
France,Historical,EV sales,Buses,BEV,2010,Vehicles,16,"1600,00%"
France,Historical,EV stock,Buses,BEV,2010,Vehicles,44,"4400,00%"
France,Historical,EV sales,Trucks,BEV,2010,Vehicles,21,"2100,00%"
France,Historical,EV stock,Trucks,BEV,2010,Vehicles,62,"6200,00%"
France,Historical,EV stock,Vans,PHEV,2010,Vehicles,210,"21000,00%"
France,Historical,EV sales,Cars,BEV,2010,Vehicles,190,"19000,00%"
France,Historical,EV stock,Cars,BEV,2010,Vehicles,300,"30000,00%"
France,Historical,EV sales,Cars,PHEV,2010,Vehicles,82,"8200,00%"
France,Historical,EV sales share,Buses,EV,2010,percent,28.999.999.165.535,"2899999916553500,00%"
France,Historical,EV stock share,Buses,EV,2010,percent,48.000.000.417.233,"4800000041723300,00%"
France,Historical,EV sales share,Vans,EV,2010,percent,189.999.997.615.814,"18999999761581400,00%"
France,Historical,EV stock share,Vans,EV,2010,percent,35.999.998.450.279,"3599999845027900,00%"
France,Historical,EV sales share,Cars,EV,2010,percent,12.000.000.104.308,"1200000010430800,00%"
France,Historical,EV stock,Vans,BEV,2010,Vehicles,1500,"150000,00%"
France,Historical,EV sales,Vans,BEV,2010,Vehicles,800,"80000,00%"
France,Historical,EV stock share,Cars,EV,2010,percent,929.999.980.144,"92999998014400,00%"
France,Historical,EV stock share,Trucks,EV,2010,percent,14.000.000.432.134,"1400000043213400,00%"
France,Historical,EV sales share,Trucks,EV,2010,percent,61.999.998.986.721,"6199999898672100,00%"
Germany,Historical,EV sales,Vans,FCEV,2010,Vehicles,2,"200,00%"
Germany,Historical,EV sales,Vans,BEV,2010,Vehicles,170,"17000,00%"
Germany,Historical,EV stock,Vans,BEV,2010,Vehicles,220,"22000,00%"
Germany,Historical,EV stock,Vans,FCEV,2010,Vehicles,2,"200,00%"
Germany,Historical,EV stock,Cars,FCEV,2010,Vehicles,19,"1900,00%"
Germany,Historical,EV sales share,Vans,EV,2010,percent,86.999.997.496.605,"8699999749660500,00%"
Germany,Historical,EV sales,Cars,BEV,2010,Vehicles,140,"14000,00%"
Germany,Historical,EV stock,Cars,BEV,2010,Vehicles,250,"25000,00%"
Germany,Historical,EV sales,Cars,FCEV,2010,Vehicles,16,"1600,00%"
Germany,Historical,EV stock share,Vans,EV,2010,percent,12.000.000.104.308,"1200000010430800,00%"
Germany,Historical,EV sales share,Cars,EV,2010,percent,4.900.000.058.115,"490000005811500,00%"
Germany,Historical,EV stock share,Cars,EV,2010,percent,579.999.992.624,"57999999262400,00%"
Iceland,Historical,EV sales,Cars,FCEV,2010,Vehicles,11,"1100,00%"
Iceland,Historical,EV stock,Cars,BEV,2010,Vehicles,14,"1400,00%"
Iceland,Historical,EV stock,Cars,FCEV,2010,Vehicles,20,"2000,00%"
Iceland,Historical,EV stock share,Cars,EV,2010,percent,6.699.999.794.364,"669999979436400,00%"
India,Historical,EV sales,Cars,BEV,2010,Vehicles,450,"45000,00%"
India,Historical,EV stock,Cars,BEV,2010,Vehicles,880,"88000,00%"
India,Historical,EV sales share,Cars,EV,2010,percent,20.999.999.716.878,"2099999971687800,00%"
India,Historical,EV stock share,Cars,EV,2010,percent,4.999.999.888.241,"499999988824100,00%"
India,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,"2,20E+08","22000000171,83%"
India,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",129.999.995.231.628,"12999999523162800,00%"
Israel,Historical,EV stock,Buses,FCEV,2010,Vehicles,3,"300,00%"
Israel,Historical,EV stock,Cars,BEV,2010,Vehicles,6,"600,00%"
Israel,Historical,EV stock share,Cars,EV,2010,percent,319.999.991.916,"31999999191600,00%"
Italy,Historical,EV sales,Vans,BEV,2010,Vehicles,210,"21000,00%"
Italy,Historical,EV stock,Vans,BEV,2010,Vehicles,820,"82000,00%"
Italy,Historical,EV sales,Cars,BEV,2010,Vehicles,40,"4000,00%"
Italy,Historical,EV stock,Cars,BEV,2010,Vehicles,650,"65000,00%"
Italy,Historical,EV sales share,Vans,EV,2010,percent,119.999.997.317.791,"11999999731779100,00%"
Italy,Historical,EV stock share,Vans,EV,2010,percent,21.999.999.880.791,"2199999988079100,00%"
Italy,Historical,EV sales share,Cars,EV,2010,percent,2.000.000.094.995,"200000009499500,00%"
Italy,Historical,EV stock share,Cars,EV,2010,percent,1.700.000.022.538,"170000002253800,00%"
Japan,Historical,EV sales share,Cars,EV,2010,percent,52.999.999.374.151,"5299999937415100,00%"
Japan,Historical,EV stock share,Cars,EV,2010,percent,6.099.999.882.281,"609999988228100,00%"
Japan,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310,"31000,00%"
Japan,Historical,EV stock,Cars,BEV,2010,Vehicles,3500,"350000,00%"
Japan,Historical,EV sales,Cars,FCEV,2010,Vehicles,2,"200,00%"
Japan,Historical,EV sales,Cars,BEV,2010,Vehicles,2400,"240000,00%"
Korea,Historical,EV stock,Buses,BEV,2010,Vehicles,5,"500,00%"
Korea,Historical,EV sales,Buses,BEV,2010,Vehicles,5,"500,00%"
Korea,Historical,EV sales,Cars,BEV,2010,Vehicles,61,"6100,00%"
Korea,Historical,EV stock,Cars,BEV,2010,Vehicles,61,"6100,00%"
Korea,Historical,EV sales share,Buses,EV,2010,percent,7.000.000.216.067,"700000021606700,00%"
Korea,Historical,EV stock share,Buses,EV,2010,percent,869.999.988.936,"86999998893600,00%"
Korea,Historical,EV stock share,Cars,EV,2010,percent,399.999.989.895,"39999998989500,00%"
Korea,Historical,EV sales share,Cars,EV,2010,percent,4.999.999.888.241,"499999988824100,00%"
Netherlands,Historical,EV sales share,Vans,EV,2010,percent,79.000.003.635.883,"7900000363588300,00%"
Netherlands,Historical,EV stock share,Buses,EV,2010,percent,150.000.005.960.464,"15000000596046400,00%"
Netherlands,Historical,EV stock share,Vans,EV,2010,percent,9.999.999.776.483,"999999977648300,00%"
Netherlands,Historical,EV sales share,Cars,EV,2010,percent,25.000.000.372.529,"2500000037252900,00%"
Netherlands,Historical,EV stock share,Cars,EV,2010,percent,359.999.993.816,"35999999381600,00%"
Netherlands,Historical,EV stock share,Trucks,EV,2010,percent,16.000.000.759.959,"1600000075995900,00%"
Netherlands,Historical,EV stock,Cars,PHEV,2010,Vehicles,11,"1100,00%"
Netherlands,Historical,EV stock,Trucks,BEV,2010,Vehicles,23,"2300,00%"
Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400,"40000,00%"
Netherlands,Historical,EV sales,Cars,BEV,2010,Vehicles,120,"12000,00%"
Netherlands,Historical,EV stock,Cars,BEV,2010,Vehicles,270,"27000,00%"
Netherlands,Historical,EV sales,Vans,BEV,2010,Vehicles,39,"3900,00%"
Netherlands,Historical,EV stock,Buses,BEV,2010,Vehicles,15,"1500,00%"
Netherlands,Historical,EV stock,Vans,BEV,2010,Vehicles,86,"8600,00%"
New Zealand,Historical,EV stock,Buses,BEV,2010,Vehicles,62,"6200,00%"
New Zealand,Historical,EV sales,Cars,BEV,2010,Vehicles,10,"1000,00%"
New Zealand,Historical,EV stock,Cars,BEV,2010,Vehicles,14,"1400,00%"
New Zealand,Historical,EV sales share,Cars,EV,2010,percent,6.300.000.008.196,"630000000819600,00%"
New Zealand,Historical,EV stock share,Buses,EV,2010,percent,28.999.999.165.535,"2899999916553500,00%"
New Zealand,Historical,EV stock share,Cars,EV,2010,percent,479.999.987.874,"47999998787400,00%"
Norway,Historical,EV stock,Cars,PHEV,2010,Vehicles,2,"200,00%"
Norway,Historical,EV sales,Cars,BEV,2010,Vehicles,360,"36000,00%"
Norway,Historical,EV stock,Cars,BEV,2010,Vehicles,2700,"270000,00%"
Norway,Historical,EV sales,Vans,BEV,2010,Vehicles,1,"100,00%"
Norway,Historical,EV charging points,EV,Publicly available slow,2010,charging points,2800,"280000,00%"
Norway,Historical,EV sales share,Vans,EV,2010,percent,3.400.000.045.076,"340000004507600,00%"
Norway,Historical,EV sales share,Cars,EV,2010,percent,280.000.001.192.093,"28000000119209300,00%"
Norway,Historical,EV stock share,Cars,EV,2010,percent,119.999.997.317.791,"11999999731779100,00%"
Poland,Historical,EV sales,Vans,BEV,2010,Vehicles,3,"300,00%"
Poland,Historical,EV sales,Cars,BEV,2010,Vehicles,15,"1500,00%"
Poland,Historical,EV sales,Cars,PHEV,2010,Vehicles,1,"100,00%"
Poland,Historical,EV sales share,Vans,EV,2010,percent,7.799.999.788.404,"779999978840400,00%"
Poland,Historical,EV sales share,Cars,EV,2010,percent,4.800.000.227.988,"480000022798800,00%"
Portugal,Historical,EV sales,Cars,BEV,2010,Vehicles,13,"1300,00%"
Portugal,Historical,EV stock,Cars,BEV,2010,Vehicles,720,"72000,00%"
Portugal,Historical,EV stock share,Cars,EV,2010,percent,14.999.999.664.724,"1499999966472400,00%"
Portugal,Historical,EV sales share,Cars,EV,2010,percent,5.799.999.926.239,"579999992623900,00%"
Rest of the world,Historical,EV stock,Buses,BEV,2010,Vehicles,180,"18000,00%"
Rest of the world,Historical,Electricity demand,Buses,EV,2010,GWh,640.000.009.536.743,"64000000953674300,00%"
Rest of the world,Historical,Electricity demand,Trucks,EV,2010,GWh,1000,"100000,00%"
Rest of the world,Historical,Electricity demand,Cars,EV,2010,GWh,119.999.997.317.791,"11999999731779100,00%"
Rest of the world,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,"1,40E+09","140000001920,27%"
Rest of the world,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,"6,10E+09","609999988228,08%"
Rest of the world,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",829.999.983.310.699,"82999998331069900,00%"
Rest of the world,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",359.999.990.463.257,"35999999046325700,00%"
Rest of the world,Historical,EV stock share,Buses,EV,2010,percent,2.300.000.051.036,"230000005103600,00%"
Spain,Historical,EV sales,Cars,BEV,2010,Vehicles,76,"7600,00%"
Spain,Historical,EV stock,Cars,BEV,2010,Vehicles,76,"7600,00%"
Spain,Historical,EV sales share,Cars,EV,2010,percent,7.699.999.958.277,"769999995827700,00%"
Spain,Historical,EV stock share,Cars,EV,2010,percent,339.999.998.687,"33999999868700,00%"
Sweden,Historical,EV sales,Cars,BEV,2010,Vehicles,4,"400,00%"
Sweden,Historical,EV stock,Cars,BEV,2010,Vehicles,4,"400,00%"
Sweden,Historical,EV sales share,Cars,EV,2010,percent,1.300.000.003.539,"130000000353900,00%"
Sweden,Historical,EV stock share,Cars,EV,2010,percent,"9,20E+09","920000020414,59%"
United Kingdom,Historical,EV sales,Vans,BEV,2010,Vehicles,230,"23000,00%"
United Kingdom,Historical,EV stock,Vans,BEV,2010,Vehicles,3700,"370000,00%"
United Kingdom,Historical,EV sales,Trucks,BEV,2010,Vehicles,9,"900,00%"
United Kingdom,Historical,EV stock,Trucks,BEV,2010,Vehicles,940,"94000,00%"
United Kingdom,Historical,EV stock,Vans,FCEV,2010,Vehicles,4,"400,00%"
United Kingdom,Historical,EV sales,Cars,BEV,2010,Vehicles,240,"24000,00%"
United Kingdom,Historical,EV stock,Cars,BEV,2010,Vehicles,1500,"150000,00%"
United Kingdom,Historical,EV sales,Cars,PHEV,2010,Vehicles,21,"2100,00%"
United Kingdom,Historical,EV stock,Cars,PHEV,2010,Vehicles,21,"2100,00%"
United Kingdom,Historical,EV sales,Buses,BEV,2010,Vehicles,4,"400,00%"
United Kingdom,Historical,EV stock,Buses,BEV,2010,Vehicles,80,"8000,00%"
United Kingdom,Historical,EV stock share,Trucks,EV,2010,percent,189.999.997.615.814,"18999999761581400,00%"
United Kingdom,Historical,EV stock share,Cars,EV,2010,percent,5.299.999.844.283,"529999984428300,00%"
United Kingdom,Historical,EV stock share,Vans,EV,2010,percent,109.999.999.403.954,"10999999940395400,00%"
United Kingdom,Historical,EV sales share,Cars,EV,2010,percent,13.000.000.268.221,"1300000026822100,00%"
United Kingdom,Historical,EV sales share,Trucks,EV,2010,percent,25.000.000.372.529,"2500000037252900,00%"
United Kingdom,Historical,EV sales share,Buses,EV,2010,percent,41.999.999.433.756,"4199999943375600,00%"
United Kingdom,Historical,EV sales share,Vans,EV,2010,percent,100.000.001.490.116,"10000000149011600,00%"
United Kingdom,Historical,EV stock share,Buses,EV,2010,percent,71.999.996.900.559,"7199999690055900,00%"
USA,Historical,EV sales,Cars,BEV,2010,Vehicles,1200,"120000,00%"
USA,Historical,EV stock,Cars,BEV,2010,Vehicles,3800,"380000,00%"
USA,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,159.999.995.958,"15999999595800,00%"
USA,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",939.999.961.853.027,"93999996185302700,00%"
USA,Historical,Electricity demand,Cars,EV,2010,GWh,96,"9600,00%"
USA,Historical,EV charging points,EV,Publicly available slow,2010,charging points,480,"48000,00%"
USA,Historical,EV stock share,Cars,EV,2010,percent,1.700.000.022.538,"170000002253800,00%"
USA,Historical,EV sales share,Cars,EV,2010,percent,12.000.000.104.308,"1200000010430800,00%"
World,Historical,EV sales share,Cars,EV,2010,percent,10.999.999.940.395,"1099999994039500,00%"
World,Historical,EV stock share,Cars,EV,2010,percent,2.300.000.051.036,"230000005103600,00%"
World,Historical,EV sales share,Trucks,EV,2010,percent,730.000.028.852,"73000002885200,00%"
World,Historical,EV stock share,Trucks,EV,2010,percent,1.900.000.032.038,"190000003203800,00%"
World,Historical,EV sales,Vans,BEV,2010,Vehicles,1700,"170000,00%"
World,Historical,EV stock,Vans,BEV,2010,Vehicles,7100,"710000,00%"
World,Historical,EV sales,Vans,FCEV,2010,Vehicles,2,"200,00%"
World,Historical,EV stock,Vans,FCEV,2010,Vehicles,6,"600,00%"
World,Historical,EV stock,Vans,PHEV,2010,Vehicles,210,"21000,00%"
World,Historical,EV stock,Cars,FCEV,2010,Vehicles,45,"4500,00%"
World,Historical,EV sales,Cars,FCEV,2010,Vehicles,29,"2900,00%"
World,Historical,EV sales,Cars,BEV,2010,Vehicles,7000,"700000,00%"
World,Historical,EV stock,Cars,BEV,2010,Vehicles,20000,"2000000,00%"
World,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310,"31000,00%"
World,Historical,Electricity demand,Buses,EV,2010,GWh,400,"40000,00%"
World,Historical,Electricity demand,Trucks,EV,2010,GWh,1000,"100000,00%"
World,Historical,Electricity demand,Vans,EV,2010,GWh,84,"8400,00%"
World,Historical,Electricity demand,Cars,EV,2010,GWh,440,"44000,00%"
World,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,339.999.998.687,"33999999868700,00%"
World,Historical,Oil displacement Mbd,Trucks,EV,2010,Milion barrels per day,"1,80E+09","180000006366,75%"
World,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,169.999.999.343,"16999999934300,00%"
World,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,380.000.012.228,"38000001222800,00%"
World,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",20,"2000,00%"
World,Historical,"Oil displacement, million lge",Trucks,EV,2010,"Oil displacement, million lge",1,"100,00%"
World,Historical,"Oil displacement, million lge",Vans,EV,2010,"Oil displacement, million lge",10,"1000,00%"
World,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",22,"2200,00%"
World,Historical,EV sales share,Buses,EV,2010,percent,52.000.001.072.884,"5200000107288400,00%"
World,Historical,EV stock share,Buses,EV,2010,percent,489.999.987.185,"48999998718500,00%"
World,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3700,"370000,00%"
World,Historical,EV sales,Trucks,BEV,2010,Vehicles,37,"3700,00%"
World,Historical,EV stock,Trucks,BEV,2010,Vehicles,1100,"110000,00%"
World,Historical,EV sales,Cars,PHEV,2010,Vehicles,450,"45000,00%"
World,Historical,EV stock,Cars,PHEV,2010,Vehicles,400,"40000,00%"
World,Historical,EV stock share,Vans,EV,2010,percent,6.200.000.178.069,"620000017806900,00%"
World,Historical,EV sales share,Vans,EV,2010,percent,18.999.999.389.052,"1899999938905200,00%"
World,Historical,EV sales,Buses,BEV,2010,Vehicles,1100,"110000,00%"
World,Historical,EV stock,Buses,FCEV,2010,Vehicles,6,"600,00%"
World,Historical,EV stock,Buses,BEV,2010,Vehicles,8500,"850000,00%"
Australia,Historical,EV stock share,Cars,EV,2011,percent,390.000.001.062,"39000000106200,00%"
Australia,Historical,EV sales share,Cars,EV,2011,percent,650.000.013.411,"65000001341100,00%"
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49,"4900,00%"
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49,"4900,00%"
Austria,Historical,EV stock share,Cars,EV,2011,percent,21.999.999.880.791,"2199999988079100,00%"
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,100.000.001.490.116,"10000000149011600,00%"
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,100.000.001.490.116,"10000000149011600,00%"
